borocd,rent_burden_30,rent_burden_50,rent_eligible_hh,renter_hh,median_rent,median_income,filings_window_total,filings_per_1k_renter_hh_per_yr,hpd_window_total,hpd_class_c_total,hpd_per_1k_renter_hh_per_yr,hpd_class_c_per_1k_renter_hh_per_yr
101,0.3964,0.1915,23098,23379,3413,209648,1080,19.62,3251,990,59.06,17.98
102,0.4081,0.1979,31080,32436,2899,165773,1064,13.93,11649,3518,152.53,46.06
103,0.4934,0.2385,58343,61596,1583,75100,3086,21.28,16931,5674,116.74,39.12
104,0.4451,0.1946,53504,54870,2538,114517,2525,19.54,12308,3846,95.27,29.77
105,0.3973,0.2095,27066,28291,3046,164188,2236,33.57,10456,3362,156.97,50.47
106,0.4433,0.2197,43794,45926,3094,157667,1743,16.12,9312,2983,86.11,27.59
107,0.4368,0.2237,65412,68627,2585,155339,3378,20.91,22097,7190,136.75,44.5
108,0.4084,0.2256,67074,69527,2768,160080,2776,16.96,14660,4410,89.55,26.94
109,0.5148,0.309,32105,34170,1796,65806,5892,73.23,58455,19890,726.55,247.22
110,0.5066,0.2831,46445,48792,1486,71833,7104,61.84,63903,22504,556.24,195.89
111,0.5538,0.3107,46648,49330,1310,39950,3171,27.3,37211,12225,320.37,105.25
112,0.5308,0.2907,60762,63386,1641,70986,11659,78.12,102174,35704,684.6,239.23
201,0.6198,0.3508,33163,34444,1054,31820,8073,99.54,58276,19735,718.57,243.34
202,0.6002,0.3618,18436,19122,1239,36438,3995,88.73,37402,12170,830.72,270.3
203,0.5988,0.3315,28345,29679,1167,34958,8098,115.88,71979,24655,1030.03,352.82
204,0.6036,0.3736,49143,51967,1380,45292,13126,107.27,103375,36455,844.85,297.93
205,0.6195,0.3694,42359,45174,1419,43900,11334,106.56,93492,33545,878.98,315.38
206,0.6299,0.3967,27356,28785,1301,28955,9313,137.41,87098,30319,1285.09,447.34
207,0.628,0.3777,44493,46472,1580,44065,10522,96.16,95773,33333,875.27,304.63
208,0.5356,0.2906,26885,28156,1663,86672,4006,60.43,30132,10069,454.52,151.88
209,0.5908,0.3376,46360,49559,1387,52808,9168,78.57,63905,20308,547.65,174.03
210,0.5384,0.28,26135,27312,1557,78435,2111,32.83,15716,4004,244.39,62.26
211,0.5824,0.3214,29111,30497,1562,70418,5626,78.35,43686,13264,608.38,184.72
212,0.577,0.3229,32716,34804,1516,70468,7218,88.08,61595,18877,751.64,230.35
301,0.4338,0.2242,67825,69952,2372,108428,3340,20.28,40518,8824,246.0,53.57
302,0.4008,0.1986,39011,40455,2725,153890,2921,30.67,22774,4686,239.09,49.2
303,0.5086,0.2666,52125,54673,1976,80953,6130,47.62,61711,15537,479.38,120.69
304,0.5535,0.2787,35781,37096,2145,85741,3380,38.7,36132,9391,413.67,107.52
305,0.5529,0.2979,49884,54016,1370,60197,9265,72.85,56203,15491,441.9,121.8
306,0.3476,0.144,31385,32689,2578,162377,1212,15.75,21657,3593,281.38,46.68
307,0.5225,0.2721,27743,28648,2004,77552,1349,20.0,32991,7598,489.09,112.64
308,0.4692,0.2344,36796,38075,1914,90166,4123,45.99,44754,12667,499.21,141.29
309,0.4919,0.2628,31978,33317,1653,71744,5182,66.06,54477,17262,694.45,220.05
310,0.4863,0.2925,27740,29377,1833,83210,1603,23.17,29115,6721,420.92,97.17
311,0.5567,0.3173,38551,40582,1715,70076,1937,20.27,29191,6154,305.5,64.4
312,0.5847,0.3542,35855,37756,1792,68393,2611,29.37,46035,10776,517.84,121.22
313,0.6187,0.3436,31375,32785,1250,50559,3099,40.15,18795,4831,243.48,62.58
314,0.5201,0.2836,43930,46036,1757,76061,7110,65.59,74854,23732,690.57,218.94
315,0.5416,0.3142,31366,33276,1673,73106,3030,38.67,27126,7077,346.22,90.33
316,0.5663,0.3186,28902,30727,1180,45197,5814,80.36,45672,13169,631.28,182.02
317,0.5581,0.3164,39519,41265,1657,74428,7375,75.91,72404,22270,745.2,229.21
318,0.5176,0.2766,26462,28836,1628,92812,3603,53.07,20695,5127,304.81,75.51
401,0.442,0.2084,61734,63957,2027,94996,3502,23.26,35443,8297,235.36,55.1
402,0.4524,0.1919,39024,40264,2244,84561,2860,30.17,23538,6481,248.28,68.36
403,0.5481,0.2996,31627,32665,1894,75526,2616,34.01,27697,8413,360.12,109.39
404,0.5707,0.311,38458,39812,1912,68363,2890,30.83,23107,6113,246.5,65.21
405,0.4906,0.2455,36600,38668,1976,91654,1613,17.72,26196,5508,287.72,60.5
406,0.506,0.2896,26071,27544,2054,100668,2503,38.59,14876,5053,229.38,77.91
407,0.6168,0.3548,43288,47830,1810,75465,3492,31.01,30064,8696,266.96,77.22
408,0.4766,0.2429,28457,30342,1812,86058,4181,58.52,22180,6787,310.46,95.0
409,0.5408,0.3072,21426,22920,1897,84109,1999,37.04,16690,3809,309.27,70.58
410,0.5771,0.341,12385,13084,1957,92952,1185,38.47,10582,1913,343.49,62.1
411,0.5051,0.2713,12173,13761,2342,100929,1048,32.34,5279,1031,162.93,31.82
412,0.5784,0.318,38033,39865,1637,87021,4766,50.78,24397,5937,259.92,63.25
413,0.5354,0.2664,16537,17556,1991,104940,2103,50.88,10474,2298,253.38,55.59
414,0.5685,0.3071,26695,28184,1438,70299,6115,92.15,24894,6849,375.13,103.21
501,0.5589,0.3098,26092,28125,1517,83807,3461,52.26,24767,6119,374.0,92.4
502,0.5431,0.3122,12984,14125,1700,98583,2076,62.42,14742,3864,443.26,116.18
503,0.5651,0.3372,10714,12093,1923,119347,742,26.06,3456,503,121.38,17.67
