borocd,food_10min_pct,care_10min_pct,civic_10min_pct,proximity_mean,childcare_prox_pct,childcare_slots_per_100_u5,supermarket_share_pct,pop,cd_name
101,1.0,1.0,0.9025,0.9675,1.0,78.6,29.2,71865,Financial District / Battery Park City
209,1.0,0.8976,0.9205,0.9394,1.0,46.7,14.9,173006,Soundview / Parkchester
302,1.0,1.0,1.0,1.0,1.0,53.0,23.0,125637,Fort Greene / Brooklyn Heights
303,1.0,1.0,0.9531,0.9844,1.0,47.2,13.7,180283,Bedford-Stuyvesant
305,1.0,0.7985,0.88,0.8928,1.0,49.5,15.9,198521,East New York / Cypress Hills
102,1.0,1.0,0.9825,0.9942,1.0,66.3,22.3,86202,Greenwich Village / Soho
307,1.0,0.9278,0.832,0.9199,1.0,59.8,11.2,120253,Sunset Park
308,1.0,1.0,0.9468,0.9823,1.0,46.3,10.2,109719,Crown Heights / Prospect Heights
309,1.0,1.0,0.9014,0.9671,1.0,60.0,5.6,100366,South Crown Heights / Lefferts Gardens
311,1.0,0.9398,0.8759,0.9386,1.0,39.7,11.7,180184,Bensonhurst / Bath Beach
312,1.0,0.9917,0.8723,0.9547,1.0,57.4,8.8,194695,Borough Park
314,1.0,0.9617,0.8839,0.9485,1.0,37.8,8.0,159561,Flatbush / Midwood
316,1.0,0.9709,0.9547,0.9752,1.0,32.8,24.8,97145,Brownsville
317,1.0,0.8961,0.8203,0.9055,1.0,53.9,19.0,154489,East Flatbush / Farragut
404,1.0,0.9895,0.9273,0.9723,1.0,29.7,17.6,168616,Elmhurst / Corona
406,1.0,0.9612,0.898,0.9531,1.0,53.9,28.8,121131,Forest Hills / Rego Park
409,1.0,0.9583,0.8567,0.9383,1.0,30.0,16.5,146860,Kew Gardens / Woodhaven
301,1.0,0.9751,0.9174,0.9642,1.0,47.1,17.7,203002,Williamsburg / Greenpoint
306,1.0,0.9997,0.9464,0.982,1.0,53.5,23.6,121009,Park Slope / Carroll Gardens
107,1.0,1.0,1.0,1.0,1.0,48.4,32.7,218761,Upper West Side
201,1.0,0.954,0.9161,0.9567,1.0,58.6,15.7,96910,Mott Haven / Melrose
103,1.0,1.0,1.0,1.0,1.0,70.8,19.4,153288,Lower East Side / Chinatown
104,1.0,1.0,0.9326,0.9775,1.0,75.0,23.0,117099,Chelsea / Hell's Kitchen
105,1.0,1.0,1.0,1.0,1.0,42.8,32.0,71533,Midtown
106,1.0,1.0,0.9526,0.9842,1.0,45.3,28.8,125446,Stuyvesant Town / Turtle Bay
207,1.0,0.9649,0.948,0.971,1.0,90.5,12.3,131046,Kingsbridge Heights / Bedford Park
108,1.0,1.0,0.9757,0.9919,1.0,60.7,25.4,212308,Upper East Side
110,1.0,1.0,1.0,1.0,1.0,36.3,17.5,134893,Central Harlem
112,1.0,0.9932,0.9298,0.9743,1.0,80.7,13.2,188591,Washington Heights / Inwood
109,1.0,1.0,1.0,1.0,1.0,54.8,12.7,112774,Manhattanville / Hamilton Heights
202,1.0,0.9587,0.9195,0.9594,1.0,50.9,15.6,59218,Hunts Point / Longwood
204,1.0,0.923,0.9813,0.9681,1.0,84.8,11.5,149631,Highbridge / Concourse
205,1.0,0.9408,1.0,0.9803,1.0,79.5,9.7,135584,University Heights / Fordham
206,1.0,0.8872,0.9952,0.9608,1.0,89.8,7.0,85192,Belmont / East Tremont
203,1.0,0.8315,0.9312,0.9209,1.0,80.9,8.3,83832,Morrisania / Crotona
402,0.9876,0.9411,0.8565,0.9284,0.9991,41.7,21.3,123823,Sunnyside / Woodside
