borocd,violent_per1k,traffic_ki_per1k,property_per1k,traffic_killed_per100k,pop,cd_name,violent_per1k_rank,traffic_ki_per1k_rank,property_per1k_rank
201,16.827,2.232,15.268,2.408,96910,Mott Haven / Melrose,1,6,4
202,16.042,1.874,13.954,3.377,59218,Hunts Point / Longwood,2,17,7
105,15.131,6.235,64.954,3.262,71533,Midtown,3,1,1
203,13.96,1.825,13.292,0.795,83832,Morrisania / Crotona,4,22,9
206,13.702,1.796,12.892,1.174,85192,Belmont / East Tremont,5,23,10
204,11.836,1.448,11.09,0.891,149631,Highbridge / Concourse,6,35,12
111,10.948,2.198,11.366,1.874,124499,East Harlem,7,7,11
316,10.513,1.736,7.055,0.343,97145,Brownsville,8,27,40
205,9.529,1.423,8.206,0.738,135584,University Heights / Fordham,9,36,32
305,9.327,1.897,9.858,0.84,198521,East New York / Cypress Hills,10,16,21
207,8.959,1.277,9.269,1.017,131046,Kingsbridge Heights / Bedford Park,11,41,26
110,8.787,1.952,9.548,0.988,134893,Central Harlem,12,12,23
212,8.438,1.28,9.945,1.038,160621,Williamsbridge / Baychester,13,40,18
209,8.375,1.065,11.065,1.927,173006,Soundview / Parkchester,14,50,13
104,7.632,2.952,18.842,2.277,117099,Chelsea / Hell's Kitchen,15,2,3
102,7.173,2.749,34.199,1.547,86202,Greenwich Village / Soho,16,3,2
304,6.984,1.738,10.127,0.893,111975,Bushwick,17,26,17
404,6.929,1.493,8.659,1.779,168616,Elmhurst / Corona,18,31,29
412,6.81,1.469,6.948,0.663,251250,Jamaica / Hollis,19,33,42
317,6.788,1.914,6.665,1.079,154489,East Flatbush / Farragut,20,13,44
302,6.383,2.685,13.828,0.531,125637,Fort Greene / Brooklyn Heights,21,4,8
303,6.37,1.834,7.54,1.849,180283,Bedford-Stuyvesant,22,21,36
103,6.017,2.053,14.556,3.044,153288,Lower East Side / Chinatown,23,10,5
308,5.988,1.85,6.574,1.823,109719,Crown Heights / Prospect Heights,24,20,45
211,5.894,1.128,10.669,1.726,115883,Pelham Parkway / Morris Park,25,49,14
109,5.832,1.552,9.062,0.887,112774,Manhattanville / Hamilton Heights,26,29,27
112,5.508,1.271,8.194,1.06,188591,Washington Heights / Inwood,27,42,33
403,5.49,1.525,8.283,1.852,161945,Jackson Heights / North Corona,28,30,31
313,5.196,1.353,6.386,0.908,110145,Coney Island / Brighton Beach,29,39,47
309,4.839,1.999,5.669,1.328,100366,South Crown Heights / Lefferts Gardens,30,11,50
501,4.698,1.241,5.086,1.47,181349,St. George / Stapleton,31,43,54
101,4.671,1.86,14.541,0.928,71865,Financial District / Battery Park City,32,18,6
414,4.657,0.917,4.476,1.787,130562,Rockaway / Broad Channel,33,55,57
401,4.581,1.757,8.34,1.489,179054,Astoria,34,25,30
410,4.404,1.213,7.341,1.45,137905,South Ozone Park / Howard Beach,35,45,39
210,4.129,0.802,9.483,1.323,126010,Throgs Neck / Co-op City,36,57,24
307,4.125,2.187,7.803,1.663,120253,Sunset Park,37,8,35
402,3.987,1.914,9.839,2.961,123823,Sunnyside / Woodside,38,13,22
409,3.815,1.207,5.1,1.135,146860,Kew Gardens / Woodhaven,39,46,53
301,3.686,2.141,10.561,1.478,203002,Williamsburg / Greenpoint,40,9,15
314,3.635,1.901,4.962,2.089,159561,Flatbush / Midwood,41,15,56
208,3.405,0.94,10.406,1.221,109169,Riverdale / Fieldston,42,54,16
106,3.228,2.461,9.927,1.594,125446,Stuyvesant Town / Turtle Bay,43,5,19
407,3.215,1.371,9.423,1.893,246517,Flushing / Bay Terrace,44,38,25
318,3.212,1.412,6.567,2.22,195224,Canarsie / Flatlands,45,37,46
306,3.121,1.76,7.487,1.653,121009,Park Slope / Carroll Gardens,46,24,37
413,2.965,0.944,5.743,1.625,205191,Queens Village / Cambria Heights,47,53,49
405,2.929,1.218,6.972,0.92,181189,Ridgewood / Maspeth,48,44,41
315,2.792,1.694,6.781,2.515,159032,Sheepshead Bay / Manhattan Beach,49,28,43
107,2.51,0.998,7.864,1.067,218761,Upper West Side,50,51,34
408,2.432,1.19,7.345,1.053,158329,Hillcrest / Fresh Meadows,51,47,38
311,2.098,1.463,5.509,1.295,180184,Bensonhurst / Bath Beach,52,34,51
108,2.038,1.151,9.904,1.413,212308,Upper East Side,53,48,20
502,1.726,0.964,5.056,1.173,142132,South Beach / Willowbrook,54,52,55
312,1.683,1.854,4.403,2.054,194695,Borough Park,55,19,58
310,1.61,1.474,5.387,2.932,125053,Bay Ridge / Dyker Heights,56,32,52
406,1.552,0.914,5.801,0.55,121131,Forest Hills / Rego Park,57,56,48
411,1.432,0.704,8.99,1.649,121282,Bayside / Little Neck,58,58,28
503,0.986,0.581,3.655,0.593,168729,Tottenville / Great Kills,59,59,59
