modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
10001,104,11745707.659863638,18436625.999972347,0.637085530719192
10001,105,6690918.340108683,18436625.999972347,0.3629144692808065
10002,103,24549832.14385794,24551650.000000168,0.9999259578829843
10003,103,6003210.822050538,16125019.99999507,0.3722916822461227
10003,102,4586796.069311922,16125019.99999507,0.28445211660595304
10003,106,3247710.3752116035,16125019.99999507,0.20140814555346886
10003,105,2287302.7334209965,16125019.99999507,0.14184805559445482
10004,101,4110180.5347348987,4111416.0000071023,0.9996995037057302
10005,101,2080945.9999840064,2080945.9999840064,1.0
10006,101,2711081.9999954207,2711081.9999954198,1.0000000000000004
10007,101,5061402.000000722,5061402.000000721,1.0000000000000002
10009,103,12640359.211116824,16913297.9999926,0.7473621768576627
10009,106,4271416.613816547,16913297.9999926,0.25254782442894436
10010,106,6414772.45990967,10520676.00000012,0.6097300648655655
10010,105,4104185.925212057,10520676.00000012,0.39010667424907014
10011,104,12019623.898469057,17357540.000021715,0.6924727754309666
10011,102,3665529.3541873335,17357540.000021715,0.21117792925626258
10011,105,1669861.3016704693,17357540.000021715,0.09620379971288445
10012,102,8996216.420619447,8996259.999996992,0.9999951558339193
10013,101,8171153.917867505,15109326.000013376,0.5408020131315104
10013,102,5835886.9879302615,15109326.000013376,0.38624403152894415
10013,103,1102085.4368096422,15109326.000013376,0.07294074115606922
10014,102,13611080.686611092,14071742.00000018,0.9672633769586535
10014,104,354891.8615120151,14071742.00000018,0.02522017967015104
10014,101,104497.16904625553,14071742.00000018,0.007426029346349171
10016,106,11126411.676294675,14843030.000007479,0.7496051464080494
10016,105,3716313.2794857807,14843030.000007479,0.2503743022471765
10017,106,6491034.64072933,10138178.000001073,0.6402565274281673
10017,105,3647065.979998342,10138178.000001073,0.3597358401083465
10018,104,4803219.846104199,8669837.999991529,0.5540149476967035
10018,105,3866115.458172937,8669837.999991529,0.44592707016863686
10019,104,11052644.734563077,19352761.999982502,0.5711145899780646
10019,105,8059973.940283387,19352761.999982502,0.41647667347382633
10019,107,238008.74097944621,19352761.999982502,0.01229843786533733
10021,108,10625758.169978658,10626434.000004265,0.9999364010517915
10022,106,7077979.49160845,12318957.999995587,0.5745599174549492
10022,105,4059174.209173667,12318957.999995587,0.3295062950271541
10022,108,1181439.9507486043,12318957.999995587,0.09590421127736838
10023,107,13738204.780476814,13739238.000002015,0.999924797901805
10024,107,20082258.68725038,23744199.999994826,0.8457753340712576
10024,109,3657908.3810575744,23744199.999994826,0.1540548167998236
